Height,lat,lon,IIiii,RR
9270,27.83333333,119.2666667,K9216,46
9270,27.51666667,120.1,K3110,3
9270,27.83333333,119.2666667,K9216,31
9270,27.51666667,120.1,K3110,8
9270,27.83333333,119.2666667,K9216,48
9270,27.51666667,120.1,K3110,10
9270,27.83333333,119.2666667,K9216,7
9250,28.97583,120.8189,K8730,134
9250,28.97583,120.8189,K8730,142
9250,28.97583,120.8189,K8730,186
9250,28.97583,120.8189,K8730,178
9250,28.97583,120.8189,K8730,215
9250,28.97583,120.8189,K8730,348
9250,28.97583,120.8189,K8730,476
9210,30.2,118.9333333,K1095,69
9210,30.2,118.9333333,K1095,88
9210,30.2,118.9333333,K1095,24
9210,30.2,118.9333333,K1095,39
9210,30.2,118.9333333,K1095,33
9210,30.2,118.9333333,K1095,89
9210,30.2,118.9333333,K1095,178
9190,29.15139,121.1528,K8727,156
9190,29.15139,121.1528,K8727,142
9190,29.15139,121.1528,K8727,172
9190,29.15139,121.1528,K8727,156
9190,29.15139,121.1528,K8727,155
9190,29.15139,121.1528,K8727,135
9190,29.15139,121.1528,K8727,242
9170,27.96666667,120.15,K3066,18
9170,27.96666667,120.15,K3066,18
9170,27.96666667,120.15,K3066,23
9170,27.96666667,120.15,K3066,24
9170,27.96666667,120.15,K3066,23
9170,27.96666667,120.15,K3066,23
9170,27.96666667,120.15,K3066,12
9150,28.53333333,120.1833333,K9135,52
9150,28.53333333,120.1833333,K9135,98
9150,28.53333333,120.1833333,K9135,73
9150,28.53333333,120.1833333,K9135,90
9150,28.53333333,120.1833333,K9135,90
9150,28.53333333,120.1833333,K9135,93
9150,28.53333333,120.1833333,K9135,176
9040,30.11666667,118.9,K1045,36
9040,30.11666667,118.9,K1045,38
9040,30.11666667,118.9,K1045,9
9040,30.11666667,118.9,K1045,19
9040,30.11666667,118.9,K1045,17
9040,30.11666667,118.9,K1045,27
9040,30.11666667,118.9,K1045,78
9030,30.4,119.5,K1614,111
9030,27.48333333,119.7833333,K3089,81
9030,30.4,119.5,K1614,92
9030,27.48333333,119.7833333,K3089,23
9030,30.4,119.5,K1614,99
9030,27.48333333,119.7833333,K3089,0
9030,30.4,119.5,K1614,92
9030,27.48333333,119.7833333,K3089,0
9030,30.4,119.5,K1614,168
9030,27.48333333,119.7833333,K3089,0
9030,30.4,119.5,K1614,195
9030,27.48333333,119.7833333,K3089,0
9030,30.4,119.5,K1614,151
9030,27.48333333,119.7833333,K3089,0
8990,27.98333333,119.4333333,K9155,92
8990,27.98333333,119.4333333,K9155,147
8990,27.98333333,119.4333333,K9155,100
8990,27.98333333,119.4333333,K9155,23
8990,27.98333333,119.4333333,K9155,37
8990,27.98333333,119.4333333,K9155,25
8990,27.98333333,119.4333333,K9155,94
8960,28.86,120.46,K6250,100
8960,28.86,120.46,K6250,112
8960,28.86,120.46,K6250,114
8960,28.86,120.46,K6250,127
8960,28.86,120.46,K6250,115
8960,28.86,120.46,K6250,189
8960,28.86,120.46,K6250,90
8920,28.18333333,118.9666667,K9395,19
8920,28.18333333,118.9666667,K9395,27
8920,28.18333333,118.9666667,K9395,34
8920,28.18333333,118.9666667,K9395,41
8920,28.18333333,118.9666667,K9395,22
8920,28.18333333,118.9666667,K9395,22
8920,28.18333333,118.9666667,K9395,52
