,lat,lon,IIiii,RR
549,29.0675,121.4881,K8812,140
550,28.87583,121.6383,K8813,82
551,29.07444,121.2789,K8814,92
552,29.15222,121.4575,K8815,99
553,29.10389,121.6006,K8816,136
554,29.07528,121.405,K8817,244
555,29.0025,121.3147,K8818,185
556,29.15861,121.3514,K8819,128
557,29.12361,121.48,K8820,119
558,28.92694,121.5833,K8821,89
559,29.15083,121.3683,K8822,116
560,29.10861,121.5767,K8823,142
561,29.00889,121.4683,K8824,156
562,29.06667,121.6792,K8825,68
563,28.89111,121.6617,K8826,58
564,28.89111,121.6617,K8827,62
565,29.02444,121.3881,K8828,327
566,29.05445,121.2419,K8829,131
567,29.16195,121.5706,K8830,82
568,29.04917,121.4242,K8840,343
569,29.11806,121.5811,K8841,31
570,28.72556,120.5786,K8901,95
571,28.72889,120.4772,K8902,52
572,28.71806,120.7936,K8903,108
573,28.94639,120.7519,K8904,0
574,28.62139,120.7147,K8905,99
575,28.78889,120.8575,K8906,201
576,28.85028,120.5117,K8907,65
577,28.66389,120.6708,K8908,92
578,28.895,120.6228,K8909,98
579,28.69833,120.3353,K8910,52
580,28.67194,120.5706,K8911,130
581,28.57361,120.3961,K8912,148
582,28.645,120.4797,K8913,141
583,28.61611,120.7961,K8914,247
584,28.77722,120.7242,K8915,80
585,28.56083,120.3333,K8916,128
586,28.83972,120.8778,K8917,35
587,28.72583,120.5208,K8918,64
588,28.76056,120.775,K8919,104
589,28.77944,120.4283,K8920,50
590,28.63111,120.4019,K8921,127
591,28.87944,120.8328,K8922,28
592,28.54944,120.5878,K8923,108
593,28.87833,120.6025,K8924,90
594,28.825,120.7467,K8925,26
595,28.69833,120.4433,K8926,36
596,28.87278,120.7306,K8927,62
597,28.81194,120.6328,K8928,34
598,28.775,120.5811,K8929,58
599,28.60417,120.6542,K8942,100
600,28.59222,120.5281,K8943,148
601,28.91639,120.7275,K8945,142
602,28.63917,120.6425,K8946,65
603,28.78306,120.5061,K8947,54
604,28.64528,120.4169,K8948,163
605,28.62583,120.8078,K8949,185
606,28.64278,120.8931,K8982,0
607,28.65472,121.4189,K8001,62
608,28.71889,121.9156,K8002,54
609,28.638986,121.3521,K8003,56
610,29.15,120.95,K8082,0
611,28.67805,121.4467,K8101,69
612,28.69667,121.4897,K8103,94
613,28.75389,121.4047,K8104,42
614,28.70806,121.3967,K8106,77
615,28.59306,121.4592,K8107,114
616,28.73028,121.4508,K8108,52
617,28.61944,121.5092,K8109,96
618,28.49639,121.9056,K8110,84
619,28.69444,121.4744,K8111,30
620,28.66417,121.4556,K8112,91
621,28.64,121.5019,K8113,71
622,28.61722,121.522441,K8114,119
623,28.59028,121.3997,K8115,99
624,28.60861,121.8156,K8116,94
625,28.45333,121.8894,K8117,0
626,28.68333,121.375,K8118,96
627,28.67805,121.5119,K8120,0
628,28.70583,121.4325,K8191,72
629,28.6525,121.28,K8201,103
630,28.59167,120.9753,K8202,72
631,28.54806,121.1744,K8203,153
632,28.61028,121.0614,K8204,115
633,28.67417,121.1369,K8205,130
634,28.53583,120.9131,K8206,53
635,28.67444,120.9375,K8207,94
636,28.65211,121.01093,K8208,110
637,28.60583,120.8744,K8209,127
638,28.515366,121.008268,K8210,183
639,28.6903,121.3275,K8212,102
640,28.54972,121.2781,K8213,141
641,28.58444,121.2314,K8214,127
642,28.68139,121.2067,K8215,105
643,28.595,121.1314,K8216,228
644,28.63222,121.1736,K8217,147
645,28.66945,121.2539,K8218,104
646,28.5981,120.92483,K8219,79
647,28.63056,121.0978,K8220,118
648,28.53806,121.0739,K8221,286
649,28.58417,120.7997,K8222,190
650,28.53722,120.9522,K8225,104
651,28.62472,121.2397,K8226,140
652,28.6125,121.2672,K8227,179
653,28.70555,121.3256,K8228,91
654,28.59833,120.82,K8270,155
655,28.50778,120.8914,K8271,151
656,28.52722,120.9522,K8272,98
657,28.48611,121.0247,K8274,269
658,28.58167,120.9753,K8282,78
659,28.64278,121.1564,K8283,124
660,28.57528,121.3503,K8301,121
661,28.52778,121.4456,K8302,61
662,28.51583,121.4972,K8303,109
663,28.52611,121.5967,K8305,105
664,28.58556,121.3344,K8306,112
665,28.55528,121.4222,K8307,108
666,28.51194,121.4036,K8308,113
667,28.55445,121.4694,K8309,76
668,28.54861,121.3681,K8310,138
669,28.56083,121.33,K8311,122
670,28.50805,121.5872,K8312,37
671,28.56807,121.51892,K8313,88
672,28.48389,121.6217,K8314,48
673,28.56139,121.5944,K8315,28
674,28.55056,121.6422,K8316,23
675,28.61778,121.3067,K8317,125
676,28.56417,121.3083,K8318,112
677,28.56139,121.5944,K8319,44
678,28.45833,121.6653,K8320,17
679,28.52889,121.3761,K8321,109
680,28.55556,121.5392,K8322,46
681,28.34945,121.4606,K8401,77
682,28.52972,121.3078,K8402,114
683,28.49111,121.2411,K8403,206
684,28.37111,121.5664,K8404,28
685,28.32472,121.2611,K8405,423
686,28.4475,121.3258,K8406,183
687,28.24639,121.6039,K8407,34
688,28.47806,121.4594,K8408,76
689,28.42222,121.6081,K8409,39
690,28.28611,121.3994,K8410,88
691,28.38389,121.3003,K8411,88
692,28.39889,121.5228,K8412,46
693,28.45056,121.5589,K8413,80
694,28.49917,121.2019,K8414,127
695,28.4125,121.6617,K8415,31
696,28.41556,121.4511,K8416,167
697,28.42056,121.2528,K8417,259
698,28.32583,121.6189,K8419,2
699,28.36194,121.2825,K8420,264
700,28.32944,121.3311,K8421,435
701,28.48222,121.3236,K8422,168
702,28.41195,121.3767,K8423,238
703,28.45722,121.3997,K8424,30
704,28.23111,121.6356,K8425,3
705,28.41111,121.5644,K8426,15
706,28.46889,121.2619,K8427,214
707,28.48944,121.3794,K8429,123
708,28.39,121.3681,K8430,268
709,28.49694,121.3361,K8441,139
710,28.43611,121.4358,K8442,149
711,28.48944,121.4331,K8443,85
712,28.345,121.4997,K8444,48
713,28.43167,121.6581,K8445,57
714,28.325,121.4075,K8446,184
715,28.32778,121.4594,K8447,98
716,28.30389,121.6469,K8448,4
717,28.48333,121.56667,K8452,-9999
718,28.25694,121.2867,K8501,151
719,28.16639,121.3717,K8502,237
720,28.24389,121.3803,K8503,35
721,28.21,121.1575,K8504,199
722,28.12556,121.2369,K8505,331
723,28.09222,121.4039,K8506,132
724,28.09167,121.2042,K8507,361
725,28.08583,121.52,K8508,328
726,28.08833,121.1528,K8509,464
727,28.19611,121.3092,K8510,49
728,28.19833,121.2414,K8511,171
729,28.21694,121.3014,K8512,390
730,28.10611,121.36417,K8513,197
731,28.27833,121.2453,K8515,293
732,28.10306,121.1358,K8517,188
733,28.22667,121.3333,K8518,504
734,28.24806,121.2539,K8520,327
735,28.31528,121.3458,K8521,378
736,28.195,121.2103,K8522,283
737,28.1333,121.1333,K8526,0
738,28.11917,121.1981,K8527,224
739,28.2425,121.1392,K8528,0
740,28.22222,121.3753,K8530,385
741,28.22222,121.3753,K8580,385
742,28.31528,121.3458,K8581,378
743,28.10611,121.36417,K8582,202
744,28.10556,121.2369,K8583,333
745,28.19833,121.2414,K8584,184
746,28.09167,121.2042,K8585,237
747,28.21,121.1575,K8586,199
748,28.08583,121.52,K8587,327
749,28.09222,121.4039,K8588,132
750,28.2425,121.1392,K8589,0
751,28.76667,121.4869,K8601,98
752,28.75694,121.3186,K8602,36
753,28.89917,120.9047,K8603,32
754,28.92889,121.2622,K8604,140
755,29.00056,121.1142,K8605,92
756,28.7425,121.1011,K8606,101
757,28.795,121.1706,K8607,100
758,28.84,121.2647,K8608,100
759,28.85222,121.4519,K8609,91
760,28.83722,121.6631,K8610,18
761,28.71278,121.6378,K8611,43
762,28.87944,121.3731,K8613,109
763,28.95778,121.2133,K8614,177
764,28.79444,121.1206,K8615,101
765,28.74611,121.2358,K8616,48
