,Height,lat,lon,IIiii,RR
16498,3600,28.86666667,120.4333333,K6122,84
17295,3600,28.51666667,119.1,K9169,60
18856,3600,29.73333333,120.5666667,K4090,54
19424,3600,28.86666667,120.4333333,K6122,95
20223,3600,28.51666667,119.1,K9169,82
730,3590,29.13333333,121.3166667,K2826,174
2648,3590,28.21666667,119.1,K9170,9
3661,3590,29.13333333,121.3166667,K2826,224
5579,3590,28.21666667,119.1,K9170,9
6592,3590,29.13333333,121.3166667,K2826,179
8519,3590,28.21666667,119.1,K9170,10
9533,3590,29.13333333,121.3166667,K2826,182
11452,3590,28.21666667,119.1,K9170,10
12465,3590,29.13333333,121.3166667,K2826,190
14377,3590,28.21666667,119.1,K9170,12
15391,3590,29.13333333,121.3166667,K2826,118
17296,3590,28.21666667,119.1,K9170,11
18311,3590,29.13333333,121.3166667,K2826,138
20224,3590,28.21666667,119.1,K9170,4
367,3580,30.48333333,119.7166667,K1412,43
1442,3580,29.36666667,121.1,K4808,116
3299,3580,30.48333333,119.7166667,K1412,34
4374,3580,29.36666667,121.1,K4808,155
6229,3580,30.48333333,119.7166667,K1412,49
7314,3580,29.36666667,121.1,K4808,246
9171,3580,30.48333333,119.7166667,K1412,62
10246,3580,29.36666667,121.1,K4808,219
12103,3580,30.48333333,119.7166667,K1412,92
13173,3580,29.36666667,121.1,K4808,292
15028,3580,30.48333333,119.7166667,K1412,80
16096,3580,29.36666667,121.1,K4808,274
17948,3580,30.48333333,119.7166667,K1412,89
19023,3580,29.36666667,121.1,K4808,200
316,3560,29.71666667,119.2666667,K1328,20
2548,3560,28.06666667,119.5666667,K9065,137
3248,3560,29.71666667,119.2666667,K1328,31
5479,3560,28.06666667,119.5666667,K9065,37
6179,3560,29.71666667,119.2666667,K1328,23
8419,3560,28.06666667,119.5666667,K9065,7
9120,3560,29.71666667,119.2666667,K1328,40
11352,3560,28.06666667,119.5666667,K9065,7
12052,3560,29.71666667,119.2666667,K1328,158
14277,3560,28.06666667,119.5666667,K9065,26
14977,3560,29.71666667,119.2666667,K1328,64
17198,3560,28.06666667,119.5666667,K9065,18
17897,3560,29.71666667,119.2666667,K1328,60
20125,3560,28.06666667,119.5666667,K9065,14
749,3550,29.21666667,121.4333333,K2847,169
3680,3550,29.21666667,121.4333333,K2847,206
6611,3550,29.21666667,121.4333333,K2847,220
9552,3550,29.21666667,121.4333333,K2847,389
12484,3550,29.21666667,121.4333333,K2847,279
15410,3550,29.21666667,121.4333333,K2847,240
18330,3550,29.21666667,121.4333333,K2847,125
954,3540,27.71666667,120.4166667,K3162,1
2046,3540,28.58333333,118.7,K7116,13
3886,3540,27.71666667,120.4166667,K3162,0
4979,3540,28.58333333,118.7,K7116,35
6817,3540,27.71666667,120.4166667,K3162,2
7919,3540,28.58333333,118.7,K7116,31
9758,3540,27.71666667,120.4166667,K3162,0
10851,3540,28.58333333,118.7,K7116,28
12686,3540,27.71666667,120.4166667,K3162,0
13778,3540,28.58333333,118.7,K7116,26
15610,3540,27.71666667,120.4166667,K3162,0
16699,3540,28.58333333,118.7,K7116,54
18528,3540,27.71666667,120.4166667,K3162,0
19627,3540,28.58333333,118.7,K7116,151
144,3510,30.31666667,119.45,K1146,13
3076,3510,30.31666667,119.45,K1146,23
6007,3510,30.31666667,119.45,K1146,25
8948,3510,30.31666667,119.45,K1146,22
11880,3510,30.31666667,119.45,K1146,63
14805,3510,30.31666667,119.45,K1146,61
17725,3510,30.31666667,119.45,K1146,58
1987,3500,28.82,119.74,K6306,108
2513,3500,28.68333333,119.8833333,K9030,205
4920,3500,28.82,119.74,K6306,26
5444,3500,28.68333333,119.8833333,K9030,179
7860,3500,28.82,119.74,K6306,19
8384,3500,28.68333333,119.8833333,K9030,114
10792,3500,28.82,119.74,K6306,21
11317,3500,28.68333333,119.8833333,K9030,179
13719,3500,28.82,119.74,K6306,53
14242,3500,28.68333333,119.8833333,K9030,222
16640,3500,28.82,119.74,K6306,21
17163,3500,28.68333333,119.8833333,K9030,199
19568,3500,28.82,119.74,K6306,8
20090,3500,28.68333333,119.8833333,K9030,148
284,3490,29.36666667,118.7666667,K1294,32
504,3490,30.21666667,120.0833333,K1810,0
2025,3490,29.3,118.2,K7026,2
3216,3490,29.36666667,118.7666667,K1294,27
3436,3490,30.21666667,120.0833333,K1810,0
4958,3490,29.3,118.2,K7026,1
6147,3490,29.36666667,118.7666667,K1294,41
6366,3490,30.21666667,120.0833333,K1810,0
7898,3490,29.3,118.2,K7026,1
9088,3490,29.36666667,118.7666667,K1294,15
9308,3490,30.21666667,120.0833333,K1810,0
10830,3490,29.3,118.2,K7026,2
12020,3490,29.36666667,118.7666667,K1294,20
12240,3490,30.21666667,120.0833333,K1810,0
13757,3490,29.3,118.2,K7026,17
14945,3490,29.36666667,118.7666667,K1294,90
15165,3490,30.21666667,120.0833333,K1810,0
16678,3490,29.3,118.2,K7026,11
17865,3490,29.36666667,118.7666667,K1294,20
18085,3490,30.21666667,120.0833333,K1810,0
19606,3490,29.3,118.2,K7026,15
2589,3480,28.68333333,119.3,K9111,67
5520,3480,28.68333333,119.3,K9111,116
8460,3480,28.68333333,119.3,K9111,108
11393,3480,28.68333333,119.3,K9111,64
14318,3480,28.68333333,119.3,K9111,74
17239,3480,28.68333333,119.3,K9111,106
