IIiii,Height,lat,lon,RR,RR_Totle,Z,,
K2816,1940,29.31666667,121.5333333,139.2857143,97.5,194,,
K8217,130,28.63222,121.1736,139.1428571,97.4,13,,
K2820,60,29.21666667,121.75,139,97.3,6,,
K2860,7470,29.26666667,121.2833333,139,97.3,747,,
K5119,5570,30.44,119.5,139,97.3,557,,
K9101,4180,28.83333333,120.35,139,97.3,418,,
K2456,48,29.83333333,121.5833333,138.7142857,97.1,4.8,,
K6278,900,28.99,119.84,138.7142857,97.1,90,,
K9610,490,30.13333333,122.0166667,138.5714286,97,49,,
K8642,1470,28.82444,121.2322,138.4285714,96.9,147,,
K1287,1340,29.78333333,119.8166667,138.2857143,96.8,134,,
K2836,200,29.18333333,121.4333333,138.1428571,96.7,20,,
K6210,4640,29.18333333,120.6833333,138.1428571,96.7,464,,
K2928,40,29.6,121.8833333,137.8571429,96.5,4,,
K3712,4950,28.46666667,120.5166667,137.8571429,96.5,495,,
K8201,460,28.6525,121.28,137.1428571,96,46,,
K8423,60,28.41195,121.3767,137,95.9,6,,
K2529,3080,30.08333333,121.3,136.8571429,95.8,308,,
K2120,70,29.88333333,121.5666667,136.5714286,95.6,7,,
K8911,1060,28.67194,120.5706,136.4285714,95.5,106,,
K9206,4130,28.48333333,120.15,136.4285714,95.5,413,,
K2446,50,29.83333333,121.6,136.2857143,95.4,5,,
K3236,800,28.43333333,120.7166667,136.2857143,95.4,80,,
K8511,990,28.19833,121.2414,136.2857143,95.4,99,,
K2922,110,29.23333333,121.8333333,136.1428571,95.3,11,,
K3355,610,27.82417,121.1742,136,95.2,61,,
K8218,70,28.66945,121.2539,136,95.2,7,,
K8616,100,28.74611,121.2358,135.8571429,95.1,10,,
K9208,3310,28.63333333,120.2666667,135.5714286,94.9,331,,
K2423,40,29.65,121.75,135.4285714,94.8,4,,
K8924,5360,28.87833,120.6025,135.4285714,94.8,536,,
K1232,240,29.93333333,119.9333333,134.7142857,94.3,24,,
K2425,610,29.65,121.6666667,134.5714286,94.2,61,,
K2740,280,29.65,121.5333333,134.5714286,94.2,28,,
K2935,35,29.41666667,121.9,134.5714286,94.2,3.5,,
K8405,66,28.32472,121.2611,134,93.8,6.6,,
K8442,310,28.43611,121.4358,134,93.8,31,,
K4827,3910,29.3,120.9333333,133.7142857,93.6,391,,
K3293,98,28.11666667,120.9666667,133.5714286,93.5,9.8,,
K8743,1680,29.15,121.21667,133.5714286,93.5,168,,
K8712,680,29.11111,121.1156,133.2857143,93.3,68,,
K2812,310,29.48333333,121.5333333,133,93.1,31,,
K6289,5790,29.15,120.67,133,93.1,579,,
K2540,120,30.11666667,121.3,131.8571429,92.3,12,,
K8819,2120,29.15861,121.3514,131.8571429,92.3,212,,
K2631,8205,29.71666667,121.0833333,131.5714286,92.1,820.5,,
K7403,5010,28.73333333,118.9333333,131.4285714,92,501,,
K2426,4860,29.73333333,121.7333333,131.1428571,91.8,486,,
K1689,1530,29.78333333,119.9833333,131,91.7,153,,
K2729,1360,29.56666667,121.15,131,91.7,136,,
K8913,3010,28.645,120.4797,131,91.7,301,,
K5123,7250,30.47,119.6,130.5714286,91.4,725,,
K2435,60,29.78333333,121.5833333,130.4285714,91.3,6,,
K8413,60,28.45056,121.5589,130.1428571,91.1,6,,
K4435,654,29.85,121.0333333,130,91,65.4,,
K2415,970,29.8,121.2,129.8571429,90.9,97,,
K5046,3960,30.45,119.6,129.8571429,90.9,396,,
K1614,9030,30.4,119.5,129.7142857,90.8,903,,
K8649,110,28.71361,121.5781,129.5714286,90.7,11,,
K4802,4040,29.35,120.9333333,129.2857143,90.5,404,,
K2819,130,29.33333333,121.6666667,129,90.3,13,,
K2936,210,29.36666667,121.7833333,129,90.3,21,,
K2834,30,29.25,121.6333333,128.8571429,90.2,3,,
58760,645,27.83333333,121.15,128.7142857,90.1,64.5,,
K2531,710,30.05,121.4333333,128.7142857,90.1,71,,
K8401,96,28.34945,121.4606,128.7142857,90.1,9.6,,
K8823,100,29.10861,121.5767,128.7142857,90.1,10,,
K2643,3140,29.73333333,121.0333333,128.5714286,90,314,,
K2530,2050,30.08333333,121.2833333,128.4285714,89.9,205,,
K8114,40,28.61722,121.522441,128.4285714,89.9,4,,
K9320,5110,28.18333333,119.85,128.4285714,89.9,511,,
K2253,110,30,121.5,128.2857143,89.8,11,,
K3363,1030,28.46111,120.7706,128.1428571,89.7,103,,
K8816,100,29.10389,121.6006,128.1428571,89.7,10,,
K2212,220,30.03333333,121.4333333,127.8571429,89.5,22,,
K8527,2390,28.11917,121.1981,127.7142857,89.4,239,,
K1602,13150,30.28333333,119.1166667,127.5714286,89.3,1315,,
K2842,1280,29.36666667,121.5,127.5714286,89.3,128,,
K6209,2170,29,119.8166667,127.1428571,89,217,,
K2255,110,29.95,121.6333333,127,88.9,11,,
K8215,140,28.68139,121.2067,127,88.9,14,,
K8822,2150,29.15083,121.3683,126.8571429,88.8,215,,
K1073,380,29.81666667,119.95,126.4285714,88.5,38,,
K9232,541,28.31666667,120.0166667,126.4285714,88.5,54.1,,
K3187,690,28.31666667,120.8,126.2857143,88.4,69,,
K8706,2280,29.07055,121,126.2857143,88.4,228,,
K3103,3710,28.4,120.65,126.1428571,88.3,371,,
K8312,60,28.50805,121.5872,126.1428571,88.3,6,,
K1071,7370,30.43333333,119.5666667,126,88.2,737,,
K6122,3600,28.86666667,120.4333333,126,88.2,360,,
K2299,2980,29.9,121.75,125.8571429,88.1,298,,
K2737,5620,29.71666667,121.2333333,125.8571429,88.1,562,,
K2948,100,29.48333333,121.8833333,125.7142857,88,10,,
K6116,8430,28.73333333,119.6833333,125.4285714,87.8,843,,
K2837,30,29.26666667,121.7166667,125.1428571,87.6,3,,
K2641,5320,29.88333333,121.1333333,124.7142857,87.3,532,,
K8810,140,29.01389,121.6083,124.7142857,87.3,14,,
K8227,210,28.6125,121.2672,124.4285714,87.1,21,,
K1658,580,29.68333333,119.6833333,124.2857143,87,58,,
K6036,4320,29.3,120.6333333,124.2857143,87,432,,
K8704,560,29.09056,121.1014,124.1428571,86.9,56,,
K7409,1600,28.66666667,118.9166667,124,86.8,160,,
K2730,2070,29.6,121.2666667,123.8571429,86.7,207,,
K2844,430,29.43333333,121.5166667,123.8571429,86.7,43,,
K1105,4200,29.88333333,119.9333333,123.7142857,86.6,420,,
K2418,40,29.78333333,121.6333333,123.7142857,86.6,4,,
K2720,100,29.55,121.5833333,123.5714286,86.5,10,,
K3235,7370,28.41666667,120.3833333,123.1428571,86.2,737,,
K8603,420,28.89917,120.9047,123.1428571,86.2,42,,
K2515,150,30.26666667,121.2166667,122.8571429,86,15,,
K1700,740,30.13333333,119.9166667,122.5714286,85.8,74,,
K8441,60,28.49694,121.3361,122.5714286,85.8,6,,
K2533,110,30.08333333,121.2333333,122.1428571,85.5,11,,
K9055,5340,28.4,119.1833333,122.1428571,85.5,534,,
K9632,750,30.06666667,122.0833333,122.1428571,85.5,75,,
K8814,1210,29.07444,121.2789,122,85.4,121,,
K8927,760,28.87278,120.7306,122,85.4,76,,
K8726,2490,29.07278,120.7303,121.8571429,85.3,249,,
K3302,80,27.81666667,121.1333333,121.5714286,85.1,8,,
K3309,452,27.83333333,121.1666667,121.5714286,85.1,45.2,,
